"RN","ThreAss","ThreCon","intervention","step","Asupp","Bsupp","ABsupp","Apos","Aneg","A","Bpos","Bneg","B","ABpos","ABneg","AB","sr-supporters","sr-opponents","satisfaction-rate","support-rate"
"1","0.5","0.5","0","61","28","10","2","24","2","2","7","3","0","2","0","0","0.7","0.8571428571428571","0.825","0.25"
"1","0.5","0.5","0","62","28","10","2","24","2","2","7","3","0","2","0","0","0.7","0.8571428571428571","0.825","0.25"
"1","0.5","0.5","0","63","28","10","2","24","2","2","7","3","0","2","0","0","0.7","0.8571428571428571","0.825","0.25"
"1","0.5","0.5","0","64","28","10","2","24","2","2","7","3","0","2","0","0","0.7","0.8571428571428571","0.825","0.25"
"1","0.5","0.5","0","65","28","10","2","24","2","2","7","3","0","2","0","0","0.7","0.8571428571428571","0.825","0.25"
"1","0.5","0.5","0","66","28","10","2","24","2","2","7","3","0","2","0","0","0.7","0.8571428571428571","0.825","0.25"
"1","0.5","0.5","0","67","28","10","2","24","2","2","7","3","0","2","0","0","0.7","0.8571428571428571","0.825","0.25"
"1","0.5","0.5","0","68","28","10","2","24","2","2","7","3","0","2","0","0","0.7","0.8571428571428571","0.825","0.25"
"1","0.5","0.5","0","69","28","10","2","24","2","2","7","3","0","2","0","0","0.7","0.8571428571428571","0.825","0.25"
"1","0.5","0.5","0","70","28","10","2","24","2","2","7","3","0","2","0","0","0.7","0.8571428571428571","0.825","0.25"
"1","0.5","0.5","0","71","32","7","1","27","2","3","5","2","0","1","0","0","0.7142857142857143","0.84375","0.825","0.175"
"1","0.5","0.5","0","72","32","7","1","27","2","3","5","2","0","1","0","0","0.7142857142857143","0.84375","0.825","0.175"
"1","0.5","0.5","0","73","32","7","1","27","2","3","5","2","0","1","0","0","0.7142857142857143","0.84375","0.825","0.175"
"1","0.5","0.5","0","74","32","7","1","27","2","3","5","2","0","1","0","0","0.7142857142857143","0.84375","0.825","0.175"
"1","0.5","0.5","0","75","32","7","1","27","2","3","5","2","0","1","0","0","0.7142857142857143","0.84375","0.825","0.175"
"1","0.5","0.5","0","76","32","7","1","27","2","3","5","2","0","1","0","0","0.7142857142857143","0.84375","0.825","0.175"
"1","0.5","0.5","0","77","32","7","1","27","2","3","5","2","0","1","0","0","0.7142857142857143","0.84375","0.825","0.175"
"1","0.5","0.5","0","78","32","7","1","27","2","3","5","2","0","1","0","0","0.7142857142857143","0.84375","0.825","0.175"
"1","0.5","0.5","0","79","32","7","1","27","2","3","5","2","0","1","0","0","0.7142857142857143","0.84375","0.825","0.175"
"1","0.5","0.5","0","80","32","7","1","27","2","3","5","2","0","1","0","0","0.7142857142857143","0.84375","0.825","0.175"
"1","0.5","0.5","0","81","34","6","0","29","2","3","5","1","0","0","0","0","0.8333333333333334","0.8529411764705882","0.85","0.15"
"1","0.5","0.5","0","82","34","6","0","29","2","3","5","1","0","0","0","0","0.8333333333333334","0.8529411764705882","0.85","0.15"
"1","0.5","0.5","0","83","34","6","0","29","2","3","5","1","0","0","0","0","0.8333333333333334","0.8529411764705882","0.85","0.15"
"1","0.5","0.5","0","84","34","6","0","29","2","3","5","1","0","0","0","0","0.8333333333333334","0.8529411764705882","0.85","0.15"
"1","0.5","0.5","0","85","34","6","0","29","2","3","5","1","0","0","0","0","0.8333333333333334","0.8529411764705882","0.85","0.15"
"1","0.5","0.5","0","86","34","6","0","29","2","3","5","1","0","0","0","0","0.8333333333333334","0.8529411764705882","0.85","0.15"
"1","0.5","0.5","0","87","34","6","0","29","2","3","5","1","0","0","0","0","0.8333333333333334","0.8529411764705882","0.85","0.15"
"1","0.5","0.5","0","88","34","6","0","29","2","3","5","1","0","0","0","0","0.8333333333333334","0.8529411764705882","0.85","0.15"
"1","0.5","0.5","0","89","34","6","0","29","2","3","5","1","0","0","0","0","0.8333333333333334","0.8529411764705882","0.85","0.15"
"1","0.5","0.5","0","90","34","6","0","29","2","3","5","1","0","0","0","0","0.8333333333333334","0.8529411764705882","0.85","0.15"
"1","0.5","0.5","0","91","35","5","0","30","2","3","5","0","0","0","0","0","1","0.8571428571428571","0.875","0.125"
"1","0.5","0.5","0","92","35","5","0","30","2","3","5","0","0","0","0","0","1","0.8571428571428571","0.875","0.125"
"1","0.5","0.5","0","93","35","5","0","30","2","3","5","0","0","0","0","0","1","0.8571428571428571","0.875","0.125"
"1","0.5","0.5","0","94","35","5","0","30","2","3","5","0","0","0","0","0","1","0.8571428571428571","0.875","0.125"
"2","0.5","0.5","1","51","8","30","2","0","8","0","18","11","1","2","0","0","0.6","0","0.5","0.75"
"1","0.5","0.5","0","95","35","5","0","30","2","3","5","0","0","0","0","0","1","0.8571428571428571","0.875","0.125"
"1","0.5","0.5","0","96","35","5","0","30","2","3","5","0","0","0","0","0","1","0.8571428571428571","0.875","0.125"
"1","0.5","0.5","0","97","35","5","0","30","2","3","5","0","0","0","0","0","1","0.8571428571428571","0.875","0.125"
"2","0.5","0.5","1","52","7","31","2","0","7","0","19","11","1","2","0","0","0.6129032258064516","0","0.525","0.775"
"1","0.5","0.5","0","98","35","5","0","30","2","3","5","0","0","0","0","0","1","0.8571428571428571","0.875","0.125"
"2","0.5","0.5","1","53","7","31","2","0","7","0","19","11","1","2","0","0","0.6129032258064516","0","0.525","0.775"
"1","0.5","0.5","0","99","35","5","0","30","2","3","5","0","0","0","0","0","1","0.8571428571428571","0.875","0.125"
"1","0.5","0.5","0","100","35","5","0","30","2","3","5","0","0","0","0","0","1","0.8571428571428571","0.875","0.125"
"2","0.5","0.5","1","54","6","32","2","0","6","0","20","11","1","2","0","0","0.625","0","0.55","0.8"
"2","0.5","0.5","1","55","6","32","2","0","6","0","20","11","1","2","0","0","0.625","0","0.55","0.8"
"2","0.5","0.5","1","56","6","32","2","0","6","0","20","11","1","2","0","0","0.625","0","0.55","0.8"
"2","0.5","0.5","1","57","6","32","2","0","6","0","20","11","1","2","0","0","0.625","0","0.55","0.8"
"2","0.5","0.5","1","58","6","32","2","0","6","0","20","11","1","2","0","0","0.625","0","0.55","0.8"
